"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","SSC-A","CD11A","CD4","CD16","CD28","CD95","CD3","CD62L","CD8","CCR7","TIME","fraction"
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster4","CD11A+|CD16+","T_Hs60011Bd_C200900505A_00.581822.fcs",76832.1953125,6.77502632141113,4.19317293167114,0.397630602121353,4.21920680999756,0.189461633563042,1.95412290096283,-0.239271372556686,1.67748832702637,0.127374961972237,1.91448068618774,2737.10009765625,0.107
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster4","CD11A+|CD16+","T_Hs60012Bd_C200900505A_00.581833.fcs",75683.45703125,6.75976276397705,4.34334349632263,0.292279332876205,3.461705327034,0.98821085691452,2.85957729816437,0.310574531555176,2.75750684738159,0.628801137208939,1.24118787050247,4678.69995117188,0.19
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","Hs90208Bd_C20090205_00.583331.fcs",49892.478515625,6.33971476554871,4.1469247341156,-0.792784333229065,0.0791079439222813,0.561422526836395,2.99820065498352,4.27298927307129,5.25989484786987,5.05073213577271,2.37957620620728,7483.19995117188,0.116
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","Hs90210Bd_C20090205_00.583065.fcs",45923.7578125,6.10431528091431,2.8386332988739,-0.539612889289856,0.198236376047134,1.38249409198761,1.0934751033783,4.06036901473999,6.56449127197266,5.58160829544067,4.17487049102783,6275.2001953125,0.139
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","Hs90211Bd_C20090205_00.583066.fcs",44762.478515625,6.136723279953,3.04217684268951,0.43689376115799,0.138706505298615,0.955855965614319,0.605999976396561,4.01415681838989,6.58566617965698,5.78919506072998,4.42224502563477,8765.44970703125,0.22
"Data_SDY736_FCM-1","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","T_Hs60003Bd_C200900407A_00.581924.fcs",45014.0390625,6.20250654220581,2.97955465316772,4.23590421676636,0.155704766511917,1.48147010803223,1.31831645965576,4.25601577758789,6.51802778244019,3.12876224517822,4.45217609405518,3269,0.267
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","T_Hs60011Bd_C200900505A_00.581822.fcs",61294,6.12719202041626,3.42713117599487,-0.570935487747192,0.161767989397049,1.9727281332016,1.73140740394592,4.04644584655762,5.28370428085327,4.55524349212646,2.62237620353699,3253.39990234375,0.067
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster5","CD11A+|CD16-|CD3+|CD8+","T_Hs60012Bd_C200900505A_00.581833.fcs",64116.640625,6.17728662490845,4.01544380187988,0.612691879272461,0.141803383827209,0.959295153617859,2.95509672164917,4.09596300125122,2.98215389251709,4.1428484916687,1.2740935087204,4580,0.141
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","Hs90208Bd_C20090205_00.583331.fcs",40545.23828125,6.18343353271484,1.89937341213226,0.180289909243584,0.171804621815681,0.203776150941849,0.64715701341629,-0.0300430655479431,2.39886951446533,-0.0615002550184727,2.19355845451355,6989.7001953125,0.353
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","Hs90210Bd_C20090205_00.583065.fcs",45738.318359375,6.38257265090942,2.09132206439972,0.389539524912834,0.2470463514328,0.218267686665058,1.14365816116333,0.368046566843987,4.12130117416382,0.288481578230858,2.74740195274353,5897.2998046875,0.222
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","Hs90211Bd_C20090205_00.583066.fcs",38665.7578125,5.94803667068481,1.41100978851318,0.434418827295303,0.163263186812401,0.152072861790657,0.444817572832108,-0.0994437113404274,6.40015316009521,-1.04860723018646,0.740415275096893,8043.7001953125,0.321
"Data_SDY736_FCM-1","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","T_Hs60003Bd_C200900407A_00.581924.fcs",27567.48046875,6.30168771743774,0.185296073555946,0.209796592593193,0.108681924641132,0.08652164041996,0.578028857707977,-0.442814201116562,-2.3138575553894,-0.151164293289185,1.18857026100159,3364.69995117188,0.591
